Cultivo;Campa�a;Semana;Zona;Siembra;CC_Mala (%);CC_Regular (%);CC_Normal (%);CC_Buena (%);CC_Excelente (%);CH_Sequ�a (%);CH_Regular (%);CH_Adecuada (%);CH_�ptima (%);CH_Exceso (%);Expansi�n foliar (%);Comienzo de Floraci�n (%);Comienzo de Fructificaci�n (%);Comienzo de Llenado (%);Comienzo de Madurez (%);Cosecha (%)
Soja;2019/20;47;TOTAL;31;0;0;3.776.864.398;5.900.354.094;3.227.815.074;448.598.527;3.296.493.144;4.326.201.464;1.928.706.864;0;1.168.973.563;0.084022989;0;0;0;0
Soja;2019/20;46;TOTAL;20;0;0;3.411.113.406;6.321.220.662;2.676.659.325;1.844.550.738;1.968.449.079;4.848.913.454;2.975.114.259;0.230681345;3.966.551.724;0.042011494;0;0;0;0
Soja;2019/20;45;TOTAL;9;0;0;3.107.639.225;6.727.262.735;1.650.980.399;1.916.750.427;1.801.661.969;4.674.393.031;3.292.199.119;0.400708388;0;0;0;0;0;0
Soja;2019/20;44;TOTAL;2;0;0;4.458.037.919;5.435.156.952;1.068.051.295;1.186.460.594;2.324.222.258;3.915.518.136;2.569.316.354;0.044826586;0;0;0;0;0;0
Soja;2019/20;43;TOTAL;0;0;0;2.322.314.615;6.536.863.087;1.140.822.298;6.014.851.316;1.325.016.254;3.954.939.602;3.911.198.371;2.073.606.406;0;0;0;0;0;0
Soja;2018/19;28;TOTAL;100;4.108.788.014;4.460.381.086;1.384.824.774;0.460061267;0;0;0;2.063.814.916;3.448.123.175;4.488.061.908;100;100;100;100;100;100
Soja;2018/19;27;TOTAL;100;4.108.788.014;4.460.381.086;1.384.824.774;0.460061267;0;0;0;2.063.814.916;3.448.123.175;4.488.061.908;100;100;100;100;100;100
Soja;2018/19;26;TOTAL;100;400.632.107;3.721.708.127;2.007.937.098;2.640.337.044;0;0;4.672.339.623;1.595.863.862;3.291.573.497;4.645.328.679;100;100;100;100;100;9.951.827.362
Soja;2018/19;25;TOTAL;100;4.039.327.852;3.641.025.574;1.997.401.187;3.222.453.864;0;0;4.484.183.107;1.741.501.425;3.452.010.093;4.358.070.171;100;100;100;100;100;9.911.123.519
Soja;2018/19;24;TOTAL;100;2.022.733.999;2.810.245.412;3.175.900.714;1.951.935.097;0.391847776;0.642869178;7.360.889.465;2.715.956.989;3.334.739.791;3.148.927.356;100;100;100;100;100;9.854.019.321
Soja;2018/19;23;TOTAL;100;2.022.733.999;2.810.245.412;3.175.900.714;1.951.935.097;0.391847776;0.642869178;7.360.889.465;2.715.956.989;3.334.739.791;3.148.927.356;100;100;100;100;100;9.611.279.816
Soja;2018/19;22;TOTAL;100;1.412.512.796;2.435.821.908;3.462.017.686;2.508.925.474;1.543.121.336;0.543784577;9.925.098.402;2.852.723.189;3.290.987.621;2.782.990.892;100;100;100;100;9.971.383.051;906.646.293
Soja;2018/19;21;TOTAL;100;6.866.095.596;1.681.432.335;4.020.296.795;3.098.349.766;4.687.345.751;1.683.814.774;8.772.122.542;3.163.199.211;3.694.305.841;2.052.324.246;100;100;100;100;9.831.242.466;8.500.583.137
Soja;2018/19;20;TOTAL;100;2.993.463.427;1.256.228.906;4.157.359.097;350.512.148;7.819.441.748;1.288.749.355;1.159.931.044;3.924.554.396;3.624.508.915;116.213.071;100;100;100;100;9.570.980.023;7.669.425.294
Soja;2018/19;19;TOTAL;100;1.862.034.245;1.099.345.533;3.930.889.979;3.717.395.253;1.066.165.811;2.839.803.103;122.999.726;4.067.077.038;3.468.804.598;9.501.407.942;100;100;100;100;9.163.323.597;6.742.638.146
Soja;2018/19;18;TOTAL;100;1.381.571.839;9.544.077.121;3.741.761.299;3.666.063.746;1.499.610.059;3.048.838.751;1.265.021.311;4.323.175.179;3.433.020.683;6.738.989.523;100;100;100;100;8.513.400.893;5.931.677.675
Soja;2018/19;17;TOTAL;100;1.741.933.975;9.559.091.093;3.728.983.053;3.578.542.278;1.562.372.163;3.353.375.554;1.314.414.739;457.880.915;3.325.524.107;4.459.144.482;100;100;100;9.924.270.475;7.694.472.914;5.066.056.209
Soja;2018/19;16;TOTAL;100;0.916749877;835.224.449;3.625.280.018;3.680.251.226;1.767.569.318;1.776.050.228;121.855.969;5.046.380.366;3.260.133.738;297.321.182;100;100;100;9.675.479.207;638.987.336;3.406.390.478
